"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","70.345","82.000","82.000","67.365","0.08K","-19.17%"
"Dec 30, 2021","87.027","94.350","94.350","88.050","0.04K","-9.79%"
"Dec 29, 2021","96.476","99.000","104.600","99.000","0.07K","-9.49%"
"Dec 28, 2021","106.590","106.590","106.590","106.590","0.00K","-0.29%"
"Dec 27, 2021","106.895","100.000","105.500","100.000","0.01K","-19.37%"
"Dec 23, 2021","132.580","158.300","158.300","129.360","0.08K","-23.31%"
"Dec 22, 2021","172.875","174.300","176.655","172.720","0.03K","-4.10%"
"Dec 21, 2021","180.267","157.700","174.800","157.700","0.24K","22.69%"
"Dec 20, 2021","146.926","140.820","148.505","139.400","0.41K","7.31%"
"Dec 17, 2021","136.915","124.500","139.500","124.500","0.68K","-4.10%"
"Dec 16, 2021","142.765","128.710","143.000","126.190","0.85K","7.92%"
"Dec 15, 2021","132.284","131.100","132.405","120.600","1.02K","3.10%"
"Dec 14, 2021","128.301","118.950","129.065","116.775","0.64K","10.52%"
"Dec 13, 2021","116.084","115.400","118.625","112.440","0.47K","9.75%"
"Dec 10, 2021","105.775","101.605","107.750","100.830","0.24K","5.31%"
"Dec 09, 2021","100.445","98.500","104.350","97.170","0.42K","-1.04%"
"Dec 08, 2021","101.502","98.600","103.835","98.600","0.36K","5.86%"
"Dec 07, 2021","95.883","95.000","95.880","94.595","0.24K","6.62%"
"Dec 06, 2021","89.928","86.600","90.275","86.600","0.09K","0.50%"
"Dec 03, 2021","89.480","91.590","92.050","89.620","0.09K","-5.64%"
"Dec 02, 2021","94.830","91.600","92.460","89.200","0.17K","-0.88%"
"Dec 01, 2021","95.675","92.600","95.100","92.600","0.29K","3.42%"
"Nov 30, 2021","92.515","98.000","98.000","95.015","0.03K","-0.68%"
"Nov 29, 2021","93.146","94.250","94.250","92.450","0.22K","6.12%"
"Nov 26, 2021","87.772","92.450","94.400","87.750","0.08K","-5.92%"
"Nov 25, 2021","93.300","93.300","93.300","93.300","-","-0.73%"
"Nov 24, 2021","93.985","93.850","93.850","93.850","0.01K","3.37%"
"Nov 23, 2021","90.925","86.950","91.400","86.950","0.04K","8.22%"
"Nov 22, 2021","84.015","84.250","86.020","81.950","0.06K","-3.57%"
"Nov 19, 2021","87.125","91.125","91.125","86.000","0.01K","-8.45%"
"Nov 18, 2021","95.165","93.600","95.300","91.365","0.04K","0.17%"
"Nov 17, 2021","95.005","97.990","99.850","95.085","0.05K","0.87%"
"Nov 16, 2021","94.190","84.380","91.490","84.380","0.06K","17.82%"
"Nov 15, 2021","79.945","78.295","82.095","78.285","0.05K","5.64%"
"Nov 12, 2021","75.675","77.770","77.770","74.060","0.03K","1.18%"
"Nov 11, 2021","74.790","72.000","75.100","72.000","0.01K","6.65%"
"Nov 10, 2021","70.125","66.710","70.370","64.505","0.06K","-3.39%"
"Nov 09, 2021","72.587","76.500","76.900","74.005","0.03K","-8.20%"
"Nov 08, 2021","79.074","80.770","80.770","77.005","0.05K","6.82%"
"Nov 05, 2021","74.027","73.160","74.640","73.030","0.08K","0.89%"
"Nov 04, 2021","73.376","77.525","77.525","72.815","0.06K","-4.14%"
"Nov 03, 2021","76.542","73.520","80.045","73.520","0.07K","13.22%"
"Nov 02, 2021","67.606","65.175","70.665","62.840","0.06K","3.03%"
"Nov 01, 2021","65.619","63.590","65.750","63.590","0.01K","1.16%"
"Oct 29, 2021","64.865","72.620","72.620","70.000","0.02K","-15.79%"
"Oct 28, 2021","77.032","78.000","80.600","78.000","0.05K","-11.27%"
"Oct 27, 2021","86.819","86.300","86.950","86.000","0.05K","-1.89%"
"Oct 26, 2021","88.493","90.150","90.200","87.800","0.06K","-0.17%"
"Oct 25, 2021","88.640","91.000","91.000","88.000","0.06K","1.49%"
"Oct 22, 2021","87.340","88.610","88.700","87.000","0.09K","-1.28%"
"Oct 21, 2021","88.470","90.640","90.660","87.810","0.04K","-5.33%"
"Oct 20, 2021","93.450","94.390","94.390","92.750","0.02K","3.91%"
"Oct 19, 2021","89.930","92.150","93.940","89.420","0.06K","-4.27%"
"Oct 18, 2021","93.940","89.350","100.400","89.350","0.04K","0.31%"
"Oct 15, 2021","93.650","104.000","104.000","92.570","0.15K","-8.34%"
"Oct 14, 2021","102.170","102.150","102.250","96.730","0.08K","9.14%"
"Oct 13, 2021","93.610","91.380","94.610","90.290","0.24K","9.23%"
"Oct 12, 2021","85.700","86.310","87.390","85.000","0.60K","0.56%"
"Oct 11, 2021","85.220","92.000","92.140","83.500","0.23K","-2.73%"
"Oct 08, 2021","87.610","95.000","95.670","83.700","0.15K","-9.29%"
"Oct 07, 2021","96.580","89.260","109.470","89.260","0.08K","-10.73%"
"Oct 06, 2021","108.190","131.030","132.930","101.560","0.18K","-6.75%"
"Oct 05, 2021","116.020","95.000","105.610","83.620","0.17K","20.04%"
"Oct 04, 2021","96.650","96.400","99.760","94.230","0.17K","3.24%"
