"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 29, 2022","108.380","108.380","108.380","108.380","0.38K","5.69%"
"Mar 28, 2022","102.545","97.600","97.600","97.600","0.00K","1.26%"
"Mar 25, 2022","101.270","101.270","101.270","101.270","0.04K","-9.26%"
"Mar 24, 2022","111.610","116.000","116.000","116.000","0.03K","-4.61%"
"Mar 23, 2022","117.000","117.000","117.000","117.000","-","18.49%"
"Mar 22, 2022","98.745","98.745","98.745","98.745","0.01K","2.54%"
"Mar 21, 2022","96.302","98.720","98.720","98.720","0.01K","-8.32%"
"Mar 18, 2022","105.045","105.045","105.045","105.045","0.01K","-0.04%"
"Mar 17, 2022","105.090","110.500","110.500","105.250","0.02K","2.40%"
"Mar 16, 2022","102.625","102.625","102.625","102.625","-","-11.10%"
"Mar 15, 2022","115.440","121.690","121.690","121.690","0.00K","0.80%"
"Mar 14, 2022","114.520","114.520","114.520","114.520","0.00K","-12.73%"
"Mar 11, 2022","131.230","131.230","131.230","131.230","-","3.82%"
"Mar 10, 2022","126.400","126.400","126.400","126.400","-","-18.91%"
"Mar 09, 2022","155.880","155.880","155.880","155.880","-","-27.35%"
"Mar 08, 2022","214.555","214.555","214.555","214.555","-","-5.57%"
"Mar 07, 2022","227.200","227.200","227.200","227.200","0.01K","18.00%"
"Mar 04, 2022","192.550","192.550","192.550","192.550","0.02K","19.73%"
"Mar 03, 2022","160.825","148.000","148.000","147.490","0.01K","-2.85%"
"Mar 02, 2022","165.545","165.545","165.545","165.545","0.00K","36.06%"
"Mar 01, 2022","121.675","103.665","119.270","103.665","0.43K","23.41%"
"Feb 28, 2022","98.595","116.490","116.490","104.470","0.03K","4.42%"
"Feb 25, 2022","94.422","94.422","94.422","94.422","0.10K","-29.70%"
"Feb 24, 2022","134.315","106.100","135.000","106.100","0.00K","51.10%"
"Feb 23, 2022","88.890","83.175","88.000","83.175","0.04K","11.40%"
"Feb 22, 2022","79.790","71.525","80.345","71.525","0.37K","11.25%"
"Feb 21, 2022","71.720","71.525","75.465","71.525","0.09K","-2.77%"
"Feb 18, 2022","73.760","72.975","73.900","70.570","0.05K","-1.54%"
"Feb 17, 2022","74.915","73.350","75.150","71.340","0.05K","7.34%"
"Feb 16, 2022","69.795","69.095","71.000","68.970","0.10K","-1.59%"
"Feb 15, 2022","70.920","76.060","76.170","68.515","0.13K","-12.20%"
"Feb 14, 2022","80.770","83.600","83.600","79.695","0.30K","4.32%"
"Feb 11, 2022","77.425","73.415","76.400","73.305","0.17K","4.13%"
"Feb 10, 2022","74.355","74.030","74.680","72.470","0.15K","-0.08%"
"Feb 09, 2022","74.415","76.695","76.695","73.835","0.07K","-3.73%"
"Feb 08, 2022","77.300","81.480","82.000","75.480","0.32K","-2.88%"
"Feb 07, 2022","79.595","78.800","79.740","77.850","0.07K","-3.70%"
"Feb 04, 2022","82.650","81.470","82.450","81.470","0.10K","3.02%"
"Feb 03, 2022","80.225","79.600","80.100","77.010","0.33K","3.72%"
"Feb 02, 2022","77.350","77.150","79.100","76.290","0.38K","1.56%"
"Feb 01, 2022","76.165","78.300","78.380","74.800","0.48K","-10.04%"
"Jan 31, 2022","84.670","84.850","84.850","84.850","0.00K","-8.03%"
"Jan 28, 2022","92.062","92.300","92.300","92.300","0.06K","-0.26%"
"Jan 27, 2022","92.300","92.250","92.900","90.310","0.33K","0.51%"
"Jan 26, 2022","91.835","89.395","92.445","89.395","0.07K","-1.86%"
"Jan 25, 2022","93.580","92.385","95.510","92.385","0.05K","0.62%"
"Jan 24, 2022","93.000","88.605","93.600","88.605","0.07K","17.75%"
"Jan 21, 2022","78.980","74.765","81.815","74.765","0.05K","5.02%"
"Jan 20, 2022","75.205","71.000","75.590","71.000","0.05K","-0.52%"
"Jan 19, 2022","75.600","73.950","76.500","71.420","0.05K","-3.49%"
"Jan 18, 2022","78.335","83.275","84.600","74.890","0.13K","0.15%"
"Jan 17, 2022","78.220","84.600","84.600","74.890","0.08K","-10.06%"
"Jan 14, 2022","86.970","89.000","91.800","85.700","0.12K","1.77%"
"Jan 13, 2022","85.460","72.000","85.980","72.000","0.14K","13.71%"
"Jan 12, 2022","75.155","82.250","82.250","73.400","0.09K","-4.55%"
"Jan 11, 2022","78.735","81.225","82.050","80.000","0.04K","-6.94%"
"Jan 10, 2022","84.605","86.500","90.400","84.460","0.07K","-4.05%"
"Jan 07, 2022","88.175","95.800","96.270","86.580","0.03K","-8.63%"
"Jan 06, 2022","96.500","95.265","97.020","93.300","0.07K","5.44%"
"Jan 05, 2022","91.520","95.700","95.700","88.385","0.14K","3.13%"
"Jan 04, 2022","88.741","85.000","96.625","85.000","0.31K","10.33%"
"Jan 03, 2022","80.435","80.434","80.434","80.434","-","14.34%"
"Dec 31, 2021","70.345","82.000","82.000","67.365","0.08K","-19.17%"
"Dec 30, 2021","87.027","94.350","94.350","88.050","0.04K","-9.79%"
"Dec 29, 2021","96.476","99.000","104.600","99.000","0.07K","-9.49%"
"Dec 28, 2021","106.590","106.590","106.590","106.590","0.00K","-0.29%"
"Dec 27, 2021","106.895","100.000","105.500","100.000","0.01K","-19.37%"
"Dec 23, 2021","132.580","158.300","158.300","129.360","0.08K","-23.31%"
"Dec 22, 2021","172.875","174.300","176.655","172.720","0.03K","-4.10%"
"Dec 21, 2021","180.267","157.700","174.800","157.700","0.24K","22.69%"
"Dec 20, 2021","146.926","140.820","148.505","139.400","0.41K","7.31%"
"Dec 17, 2021","136.915","124.500","139.500","124.500","0.68K","-4.10%"
"Dec 16, 2021","142.765","128.710","143.000","126.190","0.85K","7.92%"
"Dec 15, 2021","132.284","131.100","132.405","120.600","1.02K","3.10%"
