time,commercial_space TWh,residential_space TWh,commercial_water TWh,residential_water TWh,aggregated(no_dist_heat),dist_heat,aggregated(incl_dist_heat)
2020-01-01 00:00:00+00:00,0.7787801,1.4058903,0.022355199,0.1513765,2.358402,0.12125341,2.4796555
2020-01-02 00:00:00+00:00,0.7848322,1.4046229,0.022613613,0.1513765,2.363445,0.12151269,2.4849577
2020-01-03 00:00:00+00:00,0.6441475,1.1880516,0.022256646,0.1513765,2.0058322,0.10312661,2.1089587
2020-01-04 00:00:00+00:00,0.5523244,1.1072596,0.02027035,0.1513765,1.8312309,0.09414976,1.9253806
2020-01-05 00:00:00+00:00,0.5590908,1.1111343,0.020530956,0.1513765,1.8421326,0.09471025,1.9368428
2020-01-06 00:00:00+00:00,0.631619,1.1437111,0.022530394,0.1513765,1.949237,0.10021685,2.0494537
2020-01-07 00:00:00+00:00,0.6194449,1.1246252,0.022558862,0.1513765,1.9180053,0.09861113,2.0166166
2020-01-08 00:00:00+00:00,0.53985894,1.001401,0.022355199,0.1513765,1.7149916,0.08817351,1.8031651
2020-01-09 00:00:00+00:00,0.4304022,0.81193763,0.022613613,0.1513765,1.41633,0.07281831,1.4891483
2020-01-10 00:00:00+00:00,0.4040548,0.7809525,0.022256646,0.1513765,1.3586404,0.06985229,1.4284928
2020-01-11 00:00:00+00:00,0.4650399,0.94642,0.02027035,0.1513765,1.5831068,0.08139286,1.6644996
2020-01-12 00:00:00+00:00,0.52643234,1.0527681,0.020530956,0.1513765,1.7511079,0.09003037,1.8411384
2020-01-13 00:00:00+00:00,0.56447655,1.0326037,0.022530394,0.1513765,1.7709872,0.09105243,1.8620396
2020-01-14 00:00:00+00:00,0.48979515,0.9103789,0.022558862,0.1513765,1.5741093,0.08093027,1.6550395
2020-01-15 00:00:00+00:00,0.4008358,0.7681007,0.022355199,0.1513765,1.3426682,0.069031104,1.4116993
2020-01-16 00:00:00+00:00,0.4172507,0.78995514,0.022613613,0.1513765,1.3811959,0.071011946,1.4522078
2020-01-17 00:00:00+00:00,0.45160156,0.86147183,0.022256646,0.1513765,1.4867065,0.0764366,1.5631431
2020-01-18 00:00:00+00:00,0.48672378,0.98648274,0.02027035,0.1513765,1.6448534,0.084567465,1.7294208
2020-01-19 00:00:00+00:00,0.56887656,1.128558,0.020530956,0.1513765,1.8693421,0.09610919,1.9654512
2020-01-20 00:00:00+00:00,0.6708845,1.2096578,0.022530394,0.1513765,2.0544493,0.10562617,2.1600754
2020-01-21 00:00:00+00:00,0.7362059,1.3222065,0.022558862,0.1513765,2.2323477,0.114772536,2.3471203
2020-01-22 00:00:00+00:00,0.7520648,1.3618453,0.022355199,0.1513765,2.2876418,0.11761539,2.4052572
2020-01-23 00:00:00+00:00,0.75215364,1.3510786,0.022613613,0.1513765,2.2772224,0.11707969,2.3943021
2020-01-24 00:00:00+00:00,0.76049536,1.390438,0.022256646,0.1513765,2.3245664,0.1195138,2.44408
2020-01-25 00:00:00+00:00,0.6929639,1.3706169,0.02027035,0.1513765,2.2352276,0.114920594,2.3501482
2020-01-26 00:00:00+00:00,0.658863,1.2961149,0.020530956,0.1513765,2.1268854,0.10935036,2.2362359
2020-01-27 00:00:00+00:00,0.6136711,1.1132857,0.022530394,0.1513765,1.9008638,0.097729824,1.9985936
2020-01-28 00:00:00+00:00,0.579372,1.056232,0.022558862,0.1513765,1.8095392,0.09303452,1.9025737
2020-01-29 00:00:00+00:00,0.5866095,1.0778053,0.022355199,0.1513765,1.8381464,0.09450532,1.9326518
2020-01-30 00:00:00+00:00,0.5215642,0.96347445,0.022613613,0.1513765,1.6590288,0.08529627,1.744325
2020-01-31 00:00:00+00:00,0.3598354,0.7072617,0.022256646,0.1513765,1.2407302,0.06379013,1.3045202
2020-02-01 00:00:00+00:00,0.27075917,0.59174055,0.02027035,0.1513765,1.0341465,0.053168964,1.0873156
2020-02-02 00:00:00+00:00,0.2889286,0.6214351,0.020530956,0.1513765,1.0822711,0.055643212,1.1379143
2020-02-03 00:00:00+00:00,0.337132,0.6539747,0.022530394,0.1513765,1.1650137,0.059897285,1.224911
2020-02-04 00:00:00+00:00,0.47202763,0.8789614,0.022558862,0.1513765,1.5249243,0.078401506,1.6033258
2020-02-05 00:00:00+00:00,0.5776891,1.0620717,0.022355199,0.1513765,1.8134924,0.093237765,1.9067302
2020-02-06 00:00:00+00:00,0.6392166,1.1582786,0.022613613,0.1513765,1.9714853,0.101360716,2.072846
2020-02-07 00:00:00+00:00,0.6430215,1.1869702,0.022256646,0.1513765,2.003625,0.10301312,2.106638
2020-02-08 00:00:00+00:00,0.56886756,1.1407677,0.02027035,0.1513765,1.8812821,0.096723065,1.9780052
2020-02-09 00:00:00+00:00,0.44536904,0.9064854,0.020530956,0.1513765,1.5237619,0.078341745,1.6021036
2020-02-10 00:00:00+00:00,0.43619356,0.81904596,0.022530394,0.1513765,1.4291464,0.07347724,1.5026237
2020-02-11 00:00:00+00:00,0.50728524,0.9372227,0.022558862,0.1513765,1.6184433,0.083209634,1.7016529
2020-02-12 00:00:00+00:00,0.55717355,1.0279188,0.022355199,0.1513765,1.758824,0.09042708,1.849251
2020-02-13 00:00:00+00:00,0.5967635,1.0864267,0.022613613,0.1513765,1.8571804,0.095483914,1.9526643
2020-02-14 00:00:00+00:00,0.5507645,1.0286207,0.022256646,0.1513765,1.7530184,0.09012859,1.8431469
2020-02-15 00:00:00+00:00,0.451818,0.9252348,0.02027035,0.1513765,1.5486996,0.07962388,1.6283236
2020-02-16 00:00:00+00:00,0.30311182,0.6476428,0.020530956,0.1513765,1.1226621,0.057719845,1.1803819
2020-02-17 00:00:00+00:00,0.33985144,0.6595812,0.022530394,0.1513765,1.1733395,0.060325343,1.2336649
2020-02-18 00:00:00+00:00,0.4085484,0.77400744,0.022558862,0.1513765,1.3564912,0.06974179,1.426233
2020-02-19 00:00:00+00:00,0.47918895,0.8982437,0.022355199,0.1513765,1.5511644,0.0797506,1.6309149
2020-02-20 00:00:00+00:00,0.49981493,0.92630166,0.022613613,0.1513765,1.6001067,0.08226689,1.6823736
2020-02-21 00:00:00+00:00,0.5038566,0.9500963,0.022256646,0.1513765,1.627586,0.08367969,1.7112657
2020-02-22 00:00:00+00:00,0.41060036,0.8484851,0.02027035,0.1513765,1.4307323,0.07355878,1.504291
2020-02-23 00:00:00+00:00,0.35626048,0.7437634,0.020530956,0.1513765,1.2719313,0.06539428,1.3373256
2020-02-24 00:00:00+00:00,0.42293057,0.7974857,0.022530394,0.1513765,1.3943232,0.071686864,1.4660101
2020-02-25 00:00:00+00:00,0.42423713,0.79961413,0.022558862,0.1513765,1.3977865,0.071864925,1.4696515
2020-02-26 00:00:00+00:00,0.5487674,1.0132295,0.022355199,0.1513765,1.7357286,0.089239664,1.8249683
2020-02-27 00:00:00+00:00,0.62859565,1.1391468,0.022613613,0.1513765,1.9417325,0.09983102,2.0415635
2020-02-28 00:00:00+00:00,0.6206979,1.1478553,0.022256646,0.1513765,1.9421864,0.09985436,2.0420408
2020-02-29 00:00:00+00:00,0.47414687,0.9637565,0.02027035,0.1513765,1.6095502,0.082752414,1.6923027
2020-03-01 00:00:00+00:00,0.43406743,0.88506216,0.020530956,0.1513765,1.491037,0.07665925,1.5676962
2020-03-02 00:00:00+00:00,0.4789081,0.88965654,0.022530394,0.1513765,1.5424715,0.07930367,1.6217752
2020-03-03 00:00:00+00:00,0.52818197,0.9717495,0.022558862,0.1513765,1.6738667,0.08605914,1.7599258
2020-03-04 00:00:00+00:00,0.56902575,1.047986,0.022355199,0.1513765,1.7907435,0.092068166,1.8828117
2020-03-05 00:00:00+00:00,0.56277907,1.0299821,0.022613613,0.1513765,1.7667513,0.09083465,1.8575859
2020-03-06 00:00:00+00:00,0.54196066,1.0133853,0.022256646,0.1513765,1.7289791,0.08889265,1.8178718
2020-03-07 00:00:00+00:00,0.5039027,1.0182978,0.02027035,0.1513765,1.6938473,0.08708641,1.7809337
2020-03-08 00:00:00+00:00,0.4578509,0.92845905,0.020530956,0.1513765,1.5582174,0.08011322,1.6383306
2020-03-09 00:00:00+00:00,0.47235912,0.8797554,0.022530394,0.1513765,1.5260214,0.07845791,1.6044793
2020-03-10 00:00:00+00:00,0.44057688,0.8285789,0.022558862,0.1513765,1.443091,0.074194185,1.5172852
2020-03-11 00:00:00+00:00,0.31675225,0.6273076,0.022355199,0.1513765,1.1177915,0.057469435,1.175261
2020-03-12 00:00:00+00:00,0.2990947,0.5930531,0.022613613,0.1513765,1.0661379,0.05481375,1.1209517
2020-03-13 00:00:00+00:00,0.38416404,0.74719507,0.022256646,0.1513765,1.3049922,0.06709406,1.3720863
2020-03-14 00:00:00+00:00,0.43615517,0.8942205,0.02027035,0.1513765,1.5020225,0.077224046,1.5792465
2020-03-15 00:00:00+00:00,0.40612507,0.83570105,0.020530956,0.1513765,1.4137335,0.07268481,1.4864182
2020-03-16 00:00:00+00:00,0.37699315,0.7223494,0.022530394,0.1513765,1.2732495,0.06546205,1.3387115
2020-03-17 00:00:00+00:00,0.32921746,0.6433491,0.022558862,0.1513765,1.146502,0.05894554,1.2054476
2020-03-18 00:00:00+00:00,0.2817593,0.5682116,0.022355199,0.1513765,1.0237026,0.052632008,1.0763346
