Gasday;SLPsyn H-Gas;SLPana H-Gas;SLPsyn L-Gas;SLPana L-Gas;RLMmT H-Gas;RLMmT L-Gas;RLMoT H-Gas;RLMoT L-Gas;State
31/05/2022;421,754,112;72,920,160;96,411,024;24,697,896;;;;;preliminary
30/05/2022;495,143,592;71,701,536;110,547,864;20,468,688;;;;;preliminary
29/05/2022;459,617,616;65,307,096;102,588,408;19,119,936;866,983,176;141,654,360;52,208,621;5,208,729;preliminary
28/05/2022;368,847,600;59,280,960;83,483,424;16,641,120;753,494,520;134,895,264;46,681,653;4,049,793;preliminary
27/05/2022;294,566,664;56,178,504;68,484,792;16,707,912;834,268,656;138,013,800;46,520,870;3,999,506;preliminary
26/05/2022;263,022,264;49,811,304;58,372,632;16,546,752;799,863,576;126,119,328;45,505,188;3,752,537;preliminary
25/05/2022;265,953,864;46,799,160;63,442,056;13,900,368;945,069,216;152,406,072;46,797,864;6,182,946;preliminary
24/05/2022;247,622,568;46,788,384;60,216,792;14,681,112;1,057,511,640;163,844,688;44,676,156;7,943,875;preliminary
23/05/2022;221,493,144;47,362,344;55,016,976;14,894,016;995,331,216;155,343,072;46,082,676;4,022,961;preliminary
22/05/2022;227,057,472;44,625,216;56,094,624;12,764,976;831,754,056;127,596,408;47,057,760;969,833;preliminary
21/05/2022;199,481,400;41,393,112;52,685,184;12,008,280;775,212,264;128,657,064;40,752,864;1,020,059;preliminary
20/05/2022;156,614,904;39,635,856;41,828,976;11,840,400;933,369,096;150,856,848;40,559,715;830,472;preliminary
19/05/2022;154,025,352;43,944,240;33,048,912;13,083,648;1,053,437,352;159,470,352;42,915,590;1,119,234;preliminary
18/05/2022;174,121,152;47,311,800;35,654,016;13,117,416;1,055,031,768;158,303,160;39,863,359;865,543;preliminary
17/05/2022;215,139,288;51,585,576;47,979,528;15,185,856;1,114,683,408;164,787,000;41,257,460;1,003,006;preliminary
16/05/2022;215,647,632;51,729,432;49,203,144;15,784,656;1,034,583,264;163,507,776;44,376,187;1,024,567;preliminary
15/05/2022;228,897,840;54,940,968;52,704,408;17,357,592;820,365,744;129,057,528;38,153,907;951,311;preliminary
14/05/2022;245,022,696;53,677,488;58,197,072;15,761,688;814,567,128;131,481,576;40,813,332;981,115;preliminary
13/05/2022;246,425,712;52,971,840;61,389,960;14,334,480;958,957,080;159,884,928;45,220,560;1,090,953;preliminary
12/05/2022;217,610,904;53,617,344;55,534,968;15,154,992;1,028,812,680;165,124,200;45,788,912;909,527;preliminary
11/05/2022;201,213,096;57,228,120;47,674,344;18,165,624;983,741,952;163,292,712;45,587,485;926,425;preliminary
10/05/2022;235,343,736;67,547,784;52,230,552;21,598,176;1,041,580,512;165,264,432;41,511,102;948,460;preliminary
09/05/2022;306,272,040;73,373,040;71,022,408;21,867,048;1,116,247,392;166,505,352;46,969,819;6,084,058;preliminary
08/05/2022;358,680,696;78,537,600;86,413,368;23,467,176;890,198,664;143,134,128;44,109,841;1,432,905;preliminary
07/05/2022;356,530,560;78,681,144;81,140,232;26,043,984;846,311,736;135,012,696;44,128,637;650,743;preliminary
06/05/2022;395,656,704;85,194,144;90,777,096;29,127,792;1,182,225,072;165,304,992;48,675,119;2,921,352;preliminary
05/05/2022;457,469,544;88,825,464;110,212,968;29,997,648;1,124,259,312;167,195,136;43,231,140;2,480,586;preliminary
04/05/2022;482,532,168;94,962,552;121,753,320;32,139,672;1,170,503,040;180,202,536;50,096,490;3,784,560;preliminary
03/05/2022;507,371,808;110,888,280;123,469,848;37,246,728;1,218,757,200;178,504,416;50,852,407;1,389,418;preliminary
02/05/2022;542,745,624;111,027,624;131,947,320;38,183,640;1,136,639,664;176,119,560;53,417,460;1,621,522;preliminary
01/05/2022;581,240,664;107,315,376;144,476,352;37,481,304;911,961,240;139,244,184;52,840,630;2,124,821;preliminary
30/04/2022;582,862,752;107,803,416;148,310,040;36,234,744;947,989,056;149,435,976;52,153,574;1,027,637;corrected
29/04/2022;575,752,224;118,016,376;143,628,888;38,373,504;1,135,734,360;184,601,352;54,736,573;3,346,914;corrected
28/04/2022;601,509,168;131,236,224;142,453,608;42,708,288;1,188,968,304;195,164,928;59,404,296;1,635,186;corrected
27/04/2022;651,251,232;129,272,880;147,021,456;40,277,136;1,291,469,184;195,374,184;59,517,061;4,379,992;corrected
26/04/2022;687,359,376;130,917,744;149,285,472;32,572,896;1,342,405,776;199,294,848;63,140,864;8,604,471;corrected
25/04/2022;659,049,192;129,541,272;143,173,128;32,655,648;1,304,930,592;196,913,880;67,946,774;7,987,453;corrected
24/04/2022;597,461,760;125,307,576;124,742,520;34,533,576;958,597,272;154,383,768;55,534,482;4,828,902;corrected
23/04/2022;525,521,424;123,656,664;113,527,008;34,053,600;896,941,872;148,423,584;52,932,096;4,066,877;corrected
22/04/2022;605,089,752;127,612,632;131,631,984;32,673,792;1,074,661,008;179,667,216;63,904,749;5,006,467;corrected
21/04/2022;672,581,112;128,566,920;141,871,560;33,204,792;1,200,620,496;189,607,800;64,492,165;7,774,063;corrected
20/04/2022;710,712,024;128,653,992;145,943,376;35,112,288;1,234,449,984;191,489,376;62,302,543;3,403,198;corrected
19/04/2022;718,076,856;145,427,088;143,517,120;36,977,688;1,203,229,848;186,059,856;57,611,478;3,040,341;corrected
18/04/2022;705,739,200;149,904,912;145,642,080;39,249,312;990,337,368;141,455,664;52,606,503;1,455,616;corrected
17/04/2022;718,308,912;144,222,384;154,303,320;40,106,376;921,083,304;134,875,560;51,747,938;987,316;corrected
16/04/2022;636,380,472;127,584,432;146,807,208;34,190,352;967,171,368;147,322,704;60,492,364;1,035,052;corrected
15/04/2022;506,902,704;118,724,856;123,995,736;33,587,616;990,623,544;151,627,848;65,280,650;3,915,359;corrected
14/04/2022;442,080,984;123,163,944;101,982,024;38,100,912;1,138,518,864;170,317,464;58,188,021;6,649,982;corrected
13/04/2022;518,963,880;146,121,216;112,318,776;53,191,104;1,232,523,048;180,481,704;65,897,858;6,108,086;corrected
12/04/2022;740,506,488;189,344,808;158,801,088;66,764,136;1,209,773,592;188,219,352;72,622,647;1,249,846;corrected
11/04/2022;1,004,185,512;206,988,840;226,979,352;71,190,816;1,332,995,496;210,507,168;82,468,056;6,440,824;corrected
10/04/2022;1,085,497,872;206,576,304;254,217,312;71,712,672;1,184,311,872;192,867,192;76,490,549;5,370,961;corrected
09/04/2022;998,693,328;192,169,080;243,133,656;67,241,808;1,146,301,032;191,039,184;70,019,810;4,370,473;corrected
08/04/2022;897,240,432;189,754,728;225,046,992;68,938,776;1,327,242,600;218,056,704;80,018,255;6,145,382;corrected
07/04/2022;813,770,136;196,261,704;204,833,040;70,198,584;1,268,894,112;223,541,712;66,032,781;4,969,298;corrected
06/04/2022;870,788,568;318,510,000;207,068,208;84,073,104;1,241,786,040;218,403,696;69,599,606;2,334,685;corrected
05/04/2022;1,126,829,040;361,334,640;252,084,648;78,807,024;1,371,063,264;223,989,120;85,110,186;4,363,423;corrected
04/04/2022;1,377,135,648;302,214,072;306,159,984;89,841,096;1,397,140,584;241,818,264;79,432,461;1,813,418;corrected
03/04/2022;1,442,391,768;311,351,184;322,442,184;91,453,680;1,287,734,520;198,792,384;82,246,071;1,306,201;corrected
02/04/2022;1,370,464,176;229,551,192;308,665,008;72,887,832;1,343,216,136;204,458,376;90,044,511;1,352,399;corrected
01/04/2022;1,249,841,040;201,292,344;302,007,360;56,435,544;1,462,940,280;241,302,720;83,185,787;4,573,375;corrected
31/03/2022;1,024,936,440;179,171,784;268,410,576;50,451,312;1,481,403,072;228,501,024;82,718,595;3,212,303;final
30/03/2022;874,279,944;164,445,072;232,764,360;44,527,152;1,514,481,168;209,747,832;82,014,601;6,043,749;final
29/03/2022;702,097,728;149,896,800;185,236,128;42,082,104;1,442,280,792;201,039,048;75,281,681;8,418,082;final
28/03/2022;662,688,960;141,924,816;172,188,888;42,432,504;1,324,367,280;195,144,288;70,306,683;6,133,535;final
27/03/2022;676,324,992;143,501,112;168,342,672;46,464,192;1,103,791,872;165,783,144;71,133,322;1,346,068;final
26/03/2022;681,529,537;143,238,733;161,803,666;45,259,561;1,036,852,075;157,416,853;65,434,072;1,048,753;final
25/03/2022;739,701,240;153,309,864;169,557,480;48,190,416;1,288,944,888;196,913,448;72,003,613;4,838,677;final
24/03/2022;760,923,072;160,463,496;169,187,304;48,827,520;1,431,032,208;213,791,568;79,089,234;6,623,968;final
23/03/2022;798,448,056;168,727,776;173,318,808;52,268,760;1,438,273,344;211,331,760;79,840,091;6,492,778;final
22/03/2022;864,306,264;187,305,288;182,851,056;64,014,120;1,482,416,640;207,943,488;78,492,283;6,558,115;final
21/03/2022;929,298,264;199,276,608;201,310,944;62,603,088;1,463,557,104;208,861,632;81,528,059;6,517,760;final
20/03/2022;976,385,472;203,980,056;236,098,296;65,219,712;1,146,822,312;188,821,056;72,132,407;1,487,856;final
19/03/2022;973,051,416;213,910,608;232,537,224;71,798,976;1,143,484,536;188,950,368;66,796,812;1,206,113;final
18/03/2022;919,699,104;200,974,896;228,906,024;64,093,824;1,414,040,808;223,534,776;78,043,844;4,286,692;final
17/03/2022;878,318,856;198,236,688;216,732,552;71,923,584;1,524,605,352;232,255,224;85,291,361;6,981,021;final
16/03/2022;869,767,872;194,482,608;208,118,232;63,519,288;1,425,170,568;222,355,920;85,666,391;4,995,309;final
15/03/2022;975,790,392;200,232,648;228,614,760;59,440,416;1,612,838,880;235,222,512;79,774,647;11,624,109;final
14/03/2022;992,366,184;213,190,032;217,747,296;61,536,048;1,528,007,616;226,082,808;86,773,426;8,529,732;final
13/03/2022;1,029,926,328;227,661,912;213,595,176;68,267,688;1,171,903,176;179,297,904;73,491,779;1,581,511;final
12/03/2022;1,109,001,168;231,922,392;236,478,792;75,690,768;1,178,680,080;179,868,048;76,355,258;1,272,871;final
11/03/2022;1,206,205,200;247,610,568;255,039,120;79,275,720;1,342,824,936;216,717,192;76,263,517;1,416,346;final
10/03/2022;1,211,045,136;258,074,184;263,936,496;86,182,728;1,423,977,960;228,066,336;82,767,015;3,724,614;final
09/03/2022;1,340,855,040;269,590,680;303,824,256;93,321,792;1,538,901,360;237,811,992;89,530,637;4,404,350;final
08/03/2022;1,467,137,904;285,003,696;336,256,704;95,368,152;1,582,127,088;250,306,392;95,204,362;8,635,235;final
07/03/2022;1,553,107,872;278,524,056;360,675,120;90,528,864;1,724,270,952;254,690,400;99,124,581;9,233,951;final
06/03/2022;1,514,428,032;282,794,664;353,494,296;90,306,840;1,435,577,952;217,333,080;103,220,367;2,064,950;final
05/03/2022;1,457,820,936;275,175,936;338,725,800;87,441,048;1,393,016,520;212,631,888;103,049,279;1,432,018;final
04/03/2022;1,442,474,328;272,186,160;333,258,648;86,206,584;1,625,984,160;251,298,144;106,561,168;5,694,566;final
03/03/2022;1,400,131,920;270,080,736;317,478,984;89,217,336;1,649,537,184;250,155,576;109,105,579;5,255,418;final
02/03/2022;1,405,140,480;275,191,704;318,197,640;88,047,216;1,766,454,936;245,082,816;99,833,919;6,339,039;final
01/03/2022;1,447,126,272;273,932,904;328,517,304;90,216,552;1,745,169,480;245,841,192;105,518,104;9,889,387;final
