Gasday;SLPsyn H-Gas;SLPana H-Gas;SLPsyn L-Gas;SLPana L-Gas;RLMmT H-Gas;RLMmT L-Gas;RLMoT H-Gas;RLMoT L-Gas;State
30/04/2022;582,864,768;107,803,416;148,310,040;36,234,744;948,142,248;149,439,936;52,153,574;1,027,637;final
29/04/2022;575,754,312;118,016,376;143,628,888;38,380,152;1,135,911,840;184,599,024;54,736,573;3,346,914;final
28/04/2022;601,511,232;131,236,224;142,453,608;42,708,288;1,189,081,200;195,165,792;59,404,296;1,635,186;final
27/04/2022;651,253,320;129,272,880;147,021,456;40,277,136;1,291,557,744;195,364,440;59,517,061;4,379,992;final
26/04/2022;687,361,440;130,917,744;149,285,472;32,572,896;1,342,501,344;199,423,200;63,140,864;8,604,471;final
25/04/2022;659,051,256;129,541,272;143,173,128;32,655,648;1,305,025,440;197,034,384;67,946,774;7,987,453;final
24/04/2022;597,463,872;125,307,576;124,742,520;34,533,576;958,649,640;154,491,000;55,534,482;4,828,902;final
23/04/2022;525,523,416;123,656,664;113,527,008;34,053,600;897,003,624;148,533,216;52,932,096;4,066,877;final
22/04/2022;605,091,792;127,612,632;131,631,984;32,673,792;1,074,727,416;179,779,464;63,904,749;5,006,467;final
21/04/2022;672,583,176;128,566,920;141,871,560;33,204,792;1,200,715,248;189,723,240;64,492,165;7,774,063;final
20/04/2022;710,714,352;128,653,992;145,943,376;35,112,288;1,234,674,216;191,593,656;62,302,543;3,403,198;final
19/04/2022;718,079,040;145,427,088;143,517,120;36,977,688;1,203,443,832;186,157,464;57,611,478;3,040,341;final
18/04/2022;705,741,408;149,904,912;145,642,080;39,249,312;990,512,232;141,538,032;52,606,503;1,455,616;final
17/04/2022;718,311,168;145,141,680;154,303,320;40,106,376;921,268,848;134,974,440;51,747,938;987,316;final
16/04/2022;636,382,560;127,584,432;146,807,208;34,190,352;967,345,752;147,437,376;60,492,364;1,035,052;final
15/04/2022;506,904,816;118,724,856;123,995,736;33,587,616;990,789,072;151,746,720;65,280,650;3,915,359;final
14/04/2022;442,083,048;123,163,944;101,982,024;38,100,912;1,138,714,680;170,418,024;58,188,021;6,649,982;final
13/04/2022;518,966,376;146,121,216;112,318,776;53,191,104;1,232,730,696;180,560,064;65,897,858;6,108,086;final
12/04/2022;740,509,560;189,344,808;158,801,088;66,764,136;1,209,891,600;188,323,824;72,622,647;1,249,846;final
11/04/2022;1,004,188,656;207,316,680;226,979,352;71,190,816;1,333,220,112;210,640,752;82,468,056;6,440,824;final
10/04/2022;1,085,501,040;206,576,304;254,217,312;71,712,672;1,184,565,144;193,032,816;76,490,549;5,370,961;final
09/04/2022;998,696,520;192,169,080;243,133,656;67,241,808;1,146,575,904;191,467,992;70,019,810;4,370,473;final
08/04/2022;897,243,240;189,754,728;225,046,992;68,938,776;1,327,416,768;218,227,344;80,018,255;6,145,382;final
07/04/2022;813,772,920;196,261,704;204,834,744;70,198,584;1,269,153,552;223,713,120;66,032,781;4,969,298;final
06/04/2022;870,791,664;217,724,352;207,068,208;84,073,104;1,241,975,520;218,558,856;69,599,606;2,334,685;final
05/04/2022;1,126,881,168;221,885,136;252,084,648;78,807,024;1,371,255,840;224,447,784;85,110,186;4,363,423;final
04/04/2022;1,379,400,720;248,072,376;306,159,984;89,841,096;1,397,452,992;241,996,680;79,432,461;1,813,418;final
03/04/2022;1,442,395,632;255,810,264;322,442,184;91,453,680;1,287,982,320;198,992,592;82,246,071;1,306,201;final
02/04/2022;1,375,120,416;229,551,192;310,202,496;72,887,832;1,343,439,144;204,673,032;90,044,511;1,352,399;final
01/04/2022;1,249,863,072;201,292,344;302,012,568;56,435,544;1,463,695,992;241,525,488;83,185,787;4,573,375;final
31/03/2022;1,024,936,440;179,171,784;268,410,576;50,451,312;1,481,403,072;228,501,624;82,718,595;3,212,303;final
30/03/2022;874,279,944;164,445,072;232,764,360;44,527,152;1,514,481,168;209,748,432;82,014,601;6,043,749;final
29/03/2022;702,097,728;149,896,800;185,236,128;42,082,104;1,442,280,792;201,039,648;75,281,681;8,418,082;final
28/03/2022;662,688,960;141,924,816;172,188,888;42,432,504;1,324,367,280;195,144,888;70,306,683;6,133,535;final
27/03/2022;676,324,992;143,501,112;168,342,672;46,464,192;1,103,791,872;165,783,744;71,133,322;1,346,068;final
26/03/2022;681,529,537;143,238,733;161,803,666;45,259,561;1,036,852,075;157,417,198;65,434,072;1,048,753;final
25/03/2022;739,701,240;153,309,864;169,557,480;48,190,416;1,288,944,888;196,914,048;72,003,613;4,838,677;final
24/03/2022;760,923,072;160,463,496;169,187,304;48,827,520;1,431,032,208;213,792,168;79,089,234;6,623,968;final
23/03/2022;798,448,056;168,727,776;173,318,808;52,268,760;1,438,273,344;211,331,760;79,840,091;6,492,778;final
22/03/2022;864,306,264;187,305,288;182,851,056;64,014,120;1,482,416,640;207,943,488;78,492,283;6,558,115;final
21/03/2022;929,298,264;199,276,608;201,310,944;62,603,088;1,463,557,104;208,861,632;81,528,059;6,517,760;final
