,"Ammonia production DE, t","Fertiliser production DE, t","Ammonia net imports DE, t","Ammonia imports, t","Ammonia exports, t","Ammonia import prices DE, EUR/t","Ammonia export prices DE, EUR/t","Ammonia import value, EUR","Ammonia export value, EUR"
1/1/2019,264983,126629,26307,76158,49852,304,329,23164000,"16391000,,,,,,,,,"
2/1/2019,231174,105415,41012,65790,24778,327,305,21525000,"7546000,,,,,,,,,"
3/1/2019,190992,95514,40809,64815,24006,303,306,19667000,"7335000,,,,,,,,,"
4/1/2019,198672,114800,40041,57601,17560,294,296,16951000,"5197000,,,,,,,,,"
5/1/2019,223303,108622,-759,35904,36663,296,268,10644000,"9808000,,,,,,,,,"
6/1/2019,208330,116015,27005,60528,33524,266,209,16093000,"7015000,,,,,,,,,"
7/1/2019,254270,125652,9825,43212,33386,233,236,10051000,"7875000,,,,,,,,,"
8/1/2019,211889,114937,40153,52744,12591,217,275,11443000,"3463000,,,,,,,,,"
9/1/2019,164975,78201,2349,17281,14932,271,284,4685000,"4234000,,,,,,,,,"
10/1/2019,201807,125634,22144,49404,27260,263,240,12972000,"6556000,,,,,,,,,"
11/1/2019,224959,121388,50983,90747,39764,256,259,23213000,"10303000,,,,,,,,,"
12/1/2019,208664,113985,14976,34298,19323,257,257,8820000,"4974000,,,,,,,,,"
1/1/2020,222017,121695,12073,46952,34879,246,267,11561000,"9329000,,,,,,,,,"
2/1/2020,216418,118177,29447,67604,38157,240,238,16257000,"9100000,,,,,,,,,"
3/1/2020,190449,120151,45467,73089,27622,235,245,17181000,"6755000,,,,,,,,,"
4/1/2020,189041,96306,21301,64223,42922,250,238,16082000,"10202000,,,,,,,,,"
5/1/2020,223340,127556,3256,34127,30872,244,237,8341000,"7321000,,,,,,,,,"
6/1/2020,215464,133737,2248,24452,22204,250,224,6125000,"4975000,,,,,,,,,"
7/1/2020,227314,131316,3068,39468,36400,195,222,7699000,"8071000,,,,,,,,,"
8/1/2020,181293,111265,43945,70693,26748,199,196,14078000,"5244000,,,,,,,,,"
9/1/2020,119952,98956,36261,45837,9576,187,212,8557000,"2029000,,,,,,,,,"
10/1/2020,225423,122179,17430,62201,44771,191,196,11904000,"8775000,,,,,,,,,"
11/1/2020,229650,125478,4977,41302,36325,205,198,8484000,"7187000,,,,,,,,,"
12/1/2020,239962,125736,-11819,33136,44956,229,206,7592000,"9245000,,,,,,,,,"
1/1/2021,231051,128904,-16961,18082,35043,238,216,4298000,"7575000,,,,,,,,,"
2/1/2021,210317,116784,-4161,29204,33365,229,228,6673000,"7606000,,,,,,,,,"
3/1/2021,223142,120232,-15396,32782,48178,286,289,9388000,"13944000,,,,,,,,,"
4/1/2021,220471,101804,1495,28792,27296,359,348,10333000,"9502000,,,,,,,,,"
5/1/2021,255951,121563,-24134,27907,52041,360,401,10058000,"20856000,,,,,,,,,"
6/1/2021,206278,105130,-28715,16228,44942,319,383,5183000,"17220000,,,,,,,,,"
7/1/2021,214310,121428,-4687,23273,27960,434,444,10106000,"12421000,,,,,,,,,"
8/1/2021,198116,109519,-2028,24270,26298,464,467,11251000,"12284000,,,,,,,,,"
9/1/2021,125794,91502,5500,31394,25893,498,490,15630000,"12686000,,,,,,,,,"
10/1/2021,154493,104324,9998,32233,22235,502,647,16170000,"14388000,,,,,,,,,"
11/1/2021,191115,109990,14176,29565,15389,651,875,19239000,"13464000,,,,,,,,,"
12/1/2021,202219,106522,154944,166068,11124,469,838,77857000,"9320000,,,,,,,,,"
1/1/2022,201080,112835,7364,25393,18029,939,999,23855000,"18018000,,,,,,,,,"
2/1/2022,190316,98634,8007,35353,27346,1005,1044,35526000,"28541000,,,,,,,,,"
3/1/2022,212554,121866,-21865.9,21031.6,42897.5,947.4790316,1064.747363,19927000,45675000
