periodFrom,Verbrauch
2021-01-01 06:00,3544281069
2021-01-02 06:00,3672925495
2021-01-03 06:00,3730913139
2021-01-04 06:00,4477984511
2021-01-05 06:00,4672453437
2021-01-06 06:00,4520959195
2021-01-07 06:00,4842024752
2021-01-08 06:00,4874683035
2021-01-09 06:00,4460203247
2021-01-10 06:00,4664566780
2021-01-11 06:00,5025385631
2021-01-12 06:00,4768173672
2021-01-13 06:00,4887797169
2021-01-14 06:00,4891641746
2021-01-15 06:00,4958948239
2021-01-16 06:00,4582611211
2021-01-17 06:00,4474571222
2021-01-18 06:00,4674525861
2021-01-19 06:00,4201713022
2021-01-20 06:00,3454960605
2021-01-21 06:00,3178186714
2021-01-22 06:00,3602862872
2021-01-23 06:00,3794720691
2021-01-24 06:00,3915017110
2021-01-25 06:00,4909083815
2021-01-26 06:00,4583140869
2021-01-27 06:00,4811357115
2021-01-28 06:00,4329826592
2021-01-29 06:00,3947609813
2021-01-30 06:00,3833328864
2021-01-31 06:00,4353174406
2021-02-01 06:00,4872737114
2021-02-02 06:00,4102084417
2021-02-03 06:00,3636520846
2021-02-04 06:00,3832267313
2021-02-05 06:00,4032949692
2021-02-06 06:00,3841816355
2021-02-07 06:00,4574126283
2021-02-08 06:00,5556853898
2021-02-09 06:00,5960027679
2021-02-10 06:00,5925988755
2021-02-11 06:00,5848080101
2021-02-12 06:00,5725407754
2021-02-13 06:00,5902947596
2021-02-14 06:00,5547575096
2021-02-15 06:00,5399138427
2021-02-16 06:00,4405310946
2021-02-17 06:00,3592272144
2021-02-18 06:00,3916523015
2021-02-19 06:00,3546738557
2021-02-20 06:00,2867599220
2021-02-21 06:00,2707306920
2021-02-22 06:00,3107712424
2021-02-23 06:00,2667942734
2021-02-24 06:00,2509487114
2021-02-25 06:00,2736132910
2021-02-26 06:00,2971613863
2021-02-27 06:00,3160945937
2021-02-28 06:00,3097986852
2021-03-01 06:00,3787894949
2021-03-02 06:00,3581414962
2021-03-03 06:00,3441818364
2021-03-04 06:00,3652800114
2021-03-05 06:00,3811327199
2021-03-06 06:00,3822660658
2021-03-07 06:00,3919562281
2021-03-08 06:00,4007302189
2021-03-09 06:00,4035717723
2021-03-10 06:00,3685105906
2021-03-11 06:00,3156358611
2021-03-12 06:00,3058754252
2021-03-13 06:00,2673625574
2021-03-14 06:00,3007829357
2021-03-15 06:00,3359342249
2021-03-16 06:00,3330559687
2021-03-17 06:00,3420264061
2021-03-18 06:00,4097872744
2021-03-19 06:00,3983150091
2021-03-20 06:00,3648358597
2021-03-21 06:00,3122949646
2021-03-22 06:00,3660041528
2021-03-23 06:00,3522924059
2021-03-24 06:00,3262170805
2021-03-25 06:00,2933689695
2021-03-26 06:00,2338785707
2021-03-27 06:00,2316212763
2021-03-28 06:00,2493601659
2021-03-29 06:00,2366410315
2021-03-30 06:00,2146641540
2021-03-31 06:00,2018733149
2021-04-01 06:00,2125239417
2021-04-02 06:00,2727380749
2021-04-03 06:00,2704786341
2021-04-04 06:00,2913206724
2021-04-05 06:00,3198595530
2021-04-06 06:00,3984723774
2021-04-07 06:00,4254730893
2021-04-08 06:00,4131556294
2021-04-09 06:00,3341472586
2021-04-10 06:00,3080169444
2021-04-11 06:00,2780729235
2021-04-12 06:00,3760164810
2021-04-13 06:00,4207110413
2021-04-14 06:00,4480336536
2021-04-15 06:00,4209314166
2021-04-16 06:00,3606824261
2021-04-17 06:00,3158950366
2021-04-18 06:00,2856306935
2021-04-19 06:00,3128613958
2021-04-20 06:00,2918119449
2021-04-21 06:00,2632096426
2021-04-22 06:00,2999284899
