,electricity_from_gas
2020-01-01,115596.5
2020-01-02,132780.0
2020-01-03,109460.75
2020-01-04,104921.75
2020-01-05,136995.0
2020-01-06,196514.75
2020-01-07,213954.25
2020-01-08,207562.0
2020-01-09,182845.75
2020-01-10,172765.75
2020-01-11,164057.5
2020-01-12,106925.5
2020-01-13,197875.0
2020-01-14,125399.75
2020-01-15,113185.0
2020-01-16,199098.5
2020-01-17,200384.25
2020-01-18,156973.25
2020-01-19,174382.25
2020-01-20,277826.5
2020-01-21,294058.5
2020-01-22,296039.5
2020-01-23,309873.0
2020-01-24,301092.25
2020-01-25,236623.25
2020-01-26,178509.5
2020-01-27,207173.25
2020-01-28,156336.75
2020-01-29,172633.0
2020-01-30,140984.25
2020-01-31,113448.75
2020-02-01,74589.5
2020-02-02,88530.5
2020-02-03,133401.25
2020-02-04,147934.0
2020-02-05,231820.0
2020-02-06,258722.25
2020-02-07,258178.25
2020-02-08,158948.75
2020-02-09,66795.5
2020-02-10,99182.75
2020-02-11,97883.75
2020-02-12,108752.0
2020-02-13,177281.25
2020-02-14,221769.0
2020-02-15,96159.5
2020-02-16,65402.75
2020-02-17,102084.75
2020-02-18,105379.5
2020-02-19,151547.75
2020-02-20,162075.5
2020-02-21,115993.75
2020-02-22,65882.0
2020-02-23,66630.0
2020-02-24,138176.0
2020-02-25,122978.25
2020-02-26,196984.5
2020-02-27,242897.5
2020-02-28,192303.25
2020-02-29,85809.0
2020-03-01,78713.5
2020-03-02,197957.75
2020-03-03,243190.5
2020-03-04,250606.0
2020-03-05,219166.25
2020-03-06,204186.75
2020-03-07,161295.75
2020-03-08,91955.75
2020-03-09,215379.5
2020-03-10,133897.75
2020-03-11,133637.0
2020-03-12,102998.0
2020-03-13,121370.25
2020-03-14,129176.0
2020-03-15,86427.25
2020-03-16,173771.0
2020-03-17,179744.0
2020-03-18,114642.75
2020-03-19,186168.25
2020-03-20,139163.0
2020-03-21,75524.5
2020-03-22,68471.0
2020-03-23,97550.75
2020-03-24,103856.0
2020-03-25,112770.5
2020-03-26,109000.5
2020-03-27,102921.0
2020-03-28,85631.0
2020-03-29,59582.75
2020-03-30,150101.5
2020-03-31,171682.25
2020-04-01,155047.0
2020-04-02,119590.25
2020-04-03,111913.5
2020-04-04,119329.25
2020-04-05,73924.75
2020-04-06,98165.25
2020-04-07,133378.5
2020-04-08,142919.0
2020-04-09,146021.25
2020-04-10,102029.5
2020-04-11,82488.25
2020-04-12,63695.75
2020-04-13,52692.5
2020-04-14,105777.25
2020-04-15,109590.5
2020-04-16,145773.0
2020-04-17,164600.5
2020-04-18,86001.75
2020-04-19,60379.0
2020-04-20,68883.75
2020-04-21,58574.0
2020-04-22,65456.25
2020-04-23,160121.0
2020-04-24,109690.5
2020-04-25,87831.0
2020-04-26,105542.75
2020-04-27,173029.5
2020-04-28,182918.75
2020-04-29,172166.75
2020-04-30,105711.0
2020-05-01,64069.25
2020-05-02,60907.25
2020-05-03,77812.0
2020-05-04,161804.75
2020-05-05,157095.25
2020-05-06,150585.5
2020-05-07,182590.75
2020-05-08,175285.0
2020-05-09,145121.0
2020-05-10,69274.5
2020-05-11,86096.0
2020-05-12,155627.25
2020-05-13,204234.25
2020-05-14,189130.0
2020-05-15,147562.75
2020-05-16,89743.75
2020-05-17,68085.0
2020-05-18,124026.0
2020-05-19,173983.25
2020-05-20,209175.25
2020-05-21,129776.75
2020-05-22,116302.25
2020-05-23,66769.5
2020-05-24,46202.25
2020-05-25,137233.25
2020-05-26,215982.75
2020-05-27,197680.0
2020-05-28,184602.5
2020-05-29,182129.75
2020-05-30,74384.75
2020-05-31,57899.25
2020-06-01,66590.75
2020-06-02,171349.5
2020-06-03,198456.5
2020-06-04,201141.25
2020-06-05,162612.25
2020-06-06,63792.75
2020-06-07,85329.25
2020-06-08,205375.0
2020-06-09,236951.0
2020-06-10,240468.5
2020-06-11,188215.0
2020-06-12,149072.25
2020-06-13,111046.25
2020-06-14,114932.25
2020-06-15,207197.75
2020-06-16,222825.5
2020-06-17,241607.0
2020-06-18,238617.75
2020-06-19,230784.25
2020-06-20,144632.75
2020-06-21,105675.0
2020-06-22,189429.5
2020-06-23,209825.75
2020-06-24,222367.25
2020-06-25,224623.0
2020-06-26,212389.0
2020-06-27,165830.5
2020-06-28,100238.0
2020-06-29,180240.25
2020-06-30,141095.0
2020-07-01,197462.25
2020-07-02,218334.5
2020-07-03,209753.25
2020-07-04,69439.25
2020-07-05,48857.25
2020-07-06,90815.75
2020-07-07,198990.0
2020-07-08,223349.75
2020-07-09,218399.25
2020-07-10,213147.5
2020-07-11,192764.75
2020-07-12,164528.75
2020-07-13,213813.5
2020-07-14,224874.25
2020-07-15,229727.25
2020-07-16,206959.75
2020-07-17,214452.5
2020-07-18,188429.75
2020-07-19,174834.0
2020-07-20,204722.0
2020-07-21,223400.0
2020-07-22,227098.25
2020-07-23,223938.0
2020-07-24,215864.5
2020-07-25,183646.5
2020-07-26,131922.25
2020-07-27,214105.25
2020-07-28,167884.75
2020-07-29,162840.5
2020-07-30,225715.5
2020-07-31,208238.5
2020-08-01,170646.0
2020-08-02,180095.5
2020-08-03,232082.25
2020-08-04,236904.25
2020-08-05,206957.0
2020-08-06,215189.0
2020-08-07,214279.25
2020-08-08,181356.75
2020-08-09,141632.0
2020-08-10,184382.0
2020-08-11,190076.5
2020-08-12,175195.25
2020-08-13,179433.5
2020-08-14,189996.25
2020-08-15,169180.0
2020-08-16,138593.5
2020-08-17,184756.75
2020-08-18,191443.5
2020-08-19,189907.75
2020-08-20,175726.25
2020-08-21,148904.5
2020-08-22,85093.25
2020-08-23,72043.25
2020-08-24,169308.0
2020-08-25,166789.25
2020-08-26,53212.0
2020-08-27,147842.75
2020-08-28,159011.75
2020-08-29,130389.5
2020-08-30,136302.25
2020-08-31,172769.75
2020-09-01,191912.75
2020-09-02,187159.0
2020-09-03,174272.75
2020-09-04,163538.5
2020-09-05,75453.5
2020-09-06,86270.0
2020-09-07,154831.25
2020-09-08,143772.5
2020-09-09,163279.75
2020-09-10,187870.5
2020-09-11,186019.75
2020-09-12,107251.75
2020-09-13,99469.25
2020-09-14,171533.75
2020-09-15,183019.0
2020-09-16,171195.75
2020-09-17,157649.75
2020-09-18,155256.5
2020-09-19,145711.5
2020-09-20,136183.5
2020-09-21,190950.0
2020-09-22,210279.0
2020-09-23,202826.0
2020-09-24,157772.5
2020-09-25,171326.0
2020-09-26,109155.75
2020-09-27,103285.0
2020-09-28,172678.0
2020-09-29,201082.0
2020-09-30,189166.25
2020-10-01,195298.25
2020-10-02,156117.25
2020-10-03,83703.25
2020-10-04,77109.0
2020-10-05,171652.25
2020-10-06,141023.0
2020-10-07,156442.75
2020-10-08,115121.25
2020-10-09,194594.25
2020-10-10,96100.75
