Monat;Originalwert;Kalender- und saisonbereinigt (X13 JDemetra+)
01.01.2017;82,6;101,1
01.02.2017;83,3;101,6
01.03.2017;97,5;104,5
01.04.2017;99,2;102,2
01.05.2017;110,1;103,6
01.06.2017;109,2;102,6
01.07.2017;113;102,8
01.08.2017;109,5;101,6
01.09.2017;114,5;102,3
01.10.2017;109;102,3
01.11.2017;95,6;101,6
01.12.2017;105,1;103,1
01.01.2018;85,4;104,7
01.02.2018;84,2;102,6
01.03.2018;96,1;102
01.04.2018;102,4;105,6
01.05.2018;108,3;102,3
01.06.2018;111;103,6
01.07.2018;113,2;103,7
01.08.2018;112,2;103,6
01.09.2018;116;104,4
01.10.2018;110;103,5
01.11.2018;99,8;105
01.12.2018;106,6;104,8
01.01.2019;86;105,7
01.02.2019;87,7;106,7
01.03.2019;99,9;106,2
01.04.2019;101,4;104,4
01.05.2019;109,7;103,2
01.06.2019;112;105,2
01.07.2019;112,3;103,1
01.08.2019;113,1;103,6
01.09.2019;114,2;102,9
01.10.2019;111,1;104,9
01.11.2019;101,8;106,6
01.12.2019;106,7;105,6
01.01.2020;86,5;105,6
01.02.2020;88,4;104,5
01.03.2020;54,7;58,6
01.04.2020;25,5;26,4
01.05.2020;40,4;37,8
01.06.2020;66;62,1
01.07.2020;84,8;77,6
01.08.2020;90,2;83,1
01.09.2020;89;80,7
01.10.2020;77,2;71,7
01.11.2020;33,3;35,2
01.12.2020;31,2;31
01.01.2021;27,1;32,8
01.02.2021;27,5;33,4
01.03.2021;32,9;35,3
01.04.2021;32,5;33,3
01.05.2021;41,7;39,1
01.06.2021;72,2;68,3
01.07.2021;93,4;84,8
01.08.2021;97,8;90,9
01.09.2021;96,8;87,6
01.10.2021;94,8;88,3
01.11.2021;73,3;77,3
01.12.2021;63,4;62,6
01.01.2022;56,3;68,3
01.02.2022;58,9;71,6
01.03.2022;71,9;77,4
01.04.2022;77,8;79,4
