"Monat";"Originalwert";"Kalender- und saisonbereinigt nach X13 JDemetra+"
"2010-01-01 01:00:00";74,1;85,9
"2010-02-01 01:00:00";78,9;84,8
"2010-03-01 01:00:00";96,8;87,3
"2010-04-01 02:00:00";88,8;89,4
"2010-05-01 02:00:00";88,1;91,9
"2010-06-01 02:00:00";95,9;91,1
"2010-07-01 02:00:00";91,5;90,9
"2010-08-01 02:00:00";86,5;92,1
"2010-09-01 02:00:00";99,7;93,3
"2010-10-01 02:00:00";99;94,8
"2010-11-01 01:00:00";102,7;94,3
"2010-12-01 01:00:00";95,2;94,9
"2011-01-01 01:00:00";85,3;95,7
"2011-02-01 01:00:00";91,4;96,7
"2011-03-01 01:00:00";106,3;96,9
"2011-04-01 02:00:00";93,2;97,1
"2011-05-01 02:00:00";103,8;98
"2011-06-01 02:00:00";94,9;96,5
"2011-07-01 02:00:00";96,8;99,4
"2011-08-01 02:00:00";95,4;98,8
"2011-09-01 02:00:00";104,2;97,3
"2011-10-01 02:00:00";98,9;98,5
"2011-11-01 01:00:00";106,6;98,1
"2011-12-01 01:00:00";96,9;97
"2012-01-01 01:00:00";89,6;97,3
"2012-02-01 01:00:00";93,8;96,6
"2012-03-01 01:00:00";106,5;98,6
"2012-04-01 02:00:00";93,3;96,9
"2012-05-01 02:00:00";97,8;98,5
"2012-06-01 02:00:00";99,5;97,6
"2012-07-01 02:00:00";99,5;98,3
"2012-08-01 02:00:00";95,3;98,3
"2012-09-01 02:00:00";97,7;97,5
"2012-10-01 02:00:00";103,5;96,1
"2012-11-01 01:00:00";104;95,4
"2012-12-01 01:00:00";88,1;95,5
"2013-01-01 01:00:00";88,5;94,8
"2013-02-01 01:00:00";89,3;95,2
"2013-03-01 01:00:00";97,6;96,4
"2013-04-01 02:00:00";100,1;97,2
"2013-05-01 02:00:00";93,4;96,3
"2013-06-01 02:00:00";99;98
"2013-07-01 02:00:00";101,4;96,9
"2013-08-01 02:00:00";92,6;98,5
"2013-09-01 02:00:00";101,8;98,2
"2013-10-01 02:00:00";105,1;97,6
"2013-11-01 01:00:00";104,6;99,2
"2013-12-01 01:00:00";93,5;99,5
"2014-01-01 01:00:00";91,4;99,2
"2014-02-01 01:00:00";94,4;99,2
"2014-03-01 01:00:00";102,2;99,1
"2014-04-01 02:00:00";98,5;98,8
"2014-05-01 02:00:00";97,1;98
"2014-06-01 02:00:00";96,9;98,3
"2014-07-01 02:00:00";104,6;99,8
"2014-08-01 02:00:00";87,9;96,5
"2014-09-01 02:00:00";105,9;98,7
"2014-10-01 02:00:00";106,3;98,9
"2014-11-01 01:00:00";103,3;98,9
"2014-12-01 01:00:00";96,4;100,5
"2015-01-01 01:00:00";86,3;99,1
"2015-02-01 01:00:00";91,9;99,3
"2015-03-01 01:00:00";107,3;99,6
