"Monat";"Originalwert";"Kalender- und saisonbereinigt nach X13 JDemetra+"
"2010-01-01 01:00:00";73,6;84,1
"2010-02-01 01:00:00";79,2;83,5
"2010-03-01 01:00:00";96,7;86,1
"2010-04-01 02:00:00";87,2;87,7
"2010-05-01 02:00:00";86,5;90,4
"2010-06-01 02:00:00";95,6;90,3
"2010-07-01 02:00:00";90,1;89,6
"2010-08-01 02:00:00";84,9;91,1
"2010-09-01 02:00:00";99,5;92,4
"2010-10-01 02:00:00";97,7;94,4
"2010-11-01 01:00:00";101,5;93,9
"2010-12-01 01:00:00";93,2;95,4
"2011-01-01 01:00:00";86;95,2
"2011-02-01 01:00:00";92,8;96,3
"2011-03-01 01:00:00";107,6;96,9
"2011-04-01 02:00:00";93,7;97,4
"2011-05-01 02:00:00";104,9;98,7
"2011-06-01 02:00:00";96;97,1
"2011-07-01 02:00:00";97,2;100,1
"2011-08-01 02:00:00";95,2;99,4
"2011-09-01 02:00:00";105,2;97,7
"2011-10-01 02:00:00";98,5;99
"2011-11-01 01:00:00";106,1;98,1
"2011-12-01 01:00:00";94,5;96,9
"2012-01-01 01:00:00";90,8;97,3
"2012-02-01 01:00:00";95,8;97,2
"2012-03-01 01:00:00";107,1;98,3
"2012-04-01 02:00:00";92,8;96,6
"2012-05-01 02:00:00";97,7;98,5
"2012-06-01 02:00:00";99,5;97,2
"2012-07-01 02:00:00";99,1;98,5
"2012-08-01 02:00:00";94,2;98,4
"2012-09-01 02:00:00";97,4;97,2
"2012-10-01 02:00:00";102,2;95,9
"2012-11-01 01:00:00";102,9;95,2
"2012-12-01 01:00:00";85,6;95,9
"2013-01-01 01:00:00";89,8;94,9
"2013-02-01 01:00:00";90,9;95,6
"2013-03-01 01:00:00";98,3;96,9
"2013-04-01 02:00:00";100,1;97,1
"2013-05-01 02:00:00";93,4;96,6
"2013-06-01 02:00:00";99,5;98,1
"2013-07-01 02:00:00";100,6;96,4
"2013-08-01 02:00:00";91,4;98,7
"2013-09-01 02:00:00";101,8;98,2
"2013-10-01 02:00:00";103,9;97,5
"2013-11-01 01:00:00";104;99,7
"2013-12-01 01:00:00";90,9;99,9
"2014-01-01 01:00:00";92,6;99,3
"2014-02-01 01:00:00";96,1;99,4
"2014-03-01 01:00:00";103,6;99,8
"2014-04-01 02:00:00";99;99,5
"2014-05-01 02:00:00";97,7;98,6
"2014-06-01 02:00:00";97,5;98,7
"2014-07-01 02:00:00";105,1;100,7
"2014-08-01 02:00:00";86,8;96,8
"2014-09-01 02:00:00";106,5;99,1
"2014-10-01 02:00:00";105,6;99,3
"2014-11-01 01:00:00";102,7;99,4
"2014-12-01 01:00:00";94;101,1
"2015-01-01 01:00:00";88,4;98,4
"2015-02-01 01:00:00";94,4;99,3
"2015-03-01 01:00:00";108,7;99,2
"2015-04-01 02:00:00";99,5;100,1
"2015-05-01 02:00:00";92,9;100,5
"2015-06-01 02:00:00";106,3;100,2
"2015-07-01 02:00:00";105,9;101,6
"2015-08-01 02:00:00";89,3;99
"2015-09-01 02:00:00";106,7;99,2
"2015-10-01 02:00:00";106,6;100,3
"2015-11-01 01:00:00";105,9;99
"2015-12-01 01:00:00";95,1;99,9
"2016-01-01 01:00:00";87,7;101,2
"2016-02-01 01:00:00";100;101,2
"2016-03-01 01:00:00";105,9;100,2
"2016-04-01 02:00:00";104,1;101
"2016-05-01 02:00:00";96;99
"2016-06-01 02:00:00";110,3;101,2
"2016-07-01 02:00:00";96,5;99,6
"2016-08-01 02:00:00";97,5;101,3
"2016-09-01 02:00:00";108,7;101
"2016-10-01 02:00:00";100;101,7
"2016-11-01 01:00:00";110;101,4
"2016-12-01 01:00:00";96,7;99,5
"2017-01-01 01:00:00";94,1;100,9
"2017-02-01 01:00:00";97,3;102,1
"2017-03-01 01:00:00";115,6;101,6
"2017-04-01 02:00:00";95,2;103,1
"2017-05-01 02:00:00";106,6;103,3
"2017-06-01 02:00:00";105,7;103,4
"2017-07-01 02:00:00";100,7;104,1
"2017-08-01 02:00:00";102,2;106,3
"2017-09-01 02:00:00";109,2;105,3
"2017-10-01 02:00:00";102,2;103,8
"2017-11-01 01:00:00";116,6;107,5
"2017-12-01 01:00:00";100;107
"2018-01-01 01:00:00";100,9;106,5
"2018-02-01 01:00:00";99,6;104,6
"2018-03-01 01:00:00";112;105,9
"2018-04-01 02:00:00";104,6;105,3
"2018-05-01 02:00:00";103,7;107,1
"2018-06-01 02:00:00";112,1;106,9
"2018-07-01 02:00:00";104,9;104,6
"2018-08-01 02:00:00";101,5;105,6
"2018-09-01 02:00:00";104,9;104,9
"2018-10-01 02:00:00";110,3;104,9
"2018-11-01 01:00:00";111,6;102,9
"2018-12-01 01:00:00";93,4;103,8
"2019-01-01 01:00:00";98,4;103,6
"2019-02-01 01:00:00";100,3;103,6
"2019-03-01 01:00:00";108,8;104,3
"2019-04-01 02:00:00";102,1;102,7
"2019-05-01 02:00:00";106,7;103,4
"2019-06-01 02:00:00";97,2;102,5
"2019-07-01 02:00:00";105,8;101,9
"2019-08-01 02:00:00";94,6;102,1
"2019-09-01 02:00:00";105,1;101,3
"2019-10-01 02:00:00";105,8;100,6
"2019-11-01 01:00:00";105,4;100,7
"2019-12-01 01:00:00";90,2;98,5
"2020-01-01 01:00:00";95,1;101,5
"2020-02-01 01:00:00";98,1;102,8
"2020-03-01 01:00:00";100,5;91,5
"2020-04-01 02:00:00";70,5;71
"2020-05-01 02:00:00";76,5;79,8
"2020-06-01 02:00:00";91,2;89,5
"2020-07-01 02:00:00";94,9;91,6
"2020-08-01 02:00:00";81,8;90,7
"2020-09-01 02:00:00";100,7;93,6
"2020-10-01 02:00:00";102,8;97,1
"2020-11-01 01:00:00";105,7;98,5
"2020-12-01 01:00:00";94;98,6
"2021-01-01 01:00:00";85,8;98,1
"2021-02-01 01:00:00";93,9;96,9
"2021-03-01 01:00:00";112,2;98,4
"2021-04-01 02:00:00";97,2;98
"2021-05-01 02:00:00";93;97
"2021-06-01 02:00:00";101,7;96,2
"2021-07-01 02:00:00";97,4;97,4
"2021-08-01 02:00:00";86,9;92,9
"2021-09-01 02:00:00";99,6;92,7
"2021-10-01 02:00:00";97,8;95,9
"2021-11-01 01:00:00";104,8;96,6
"2021-12-01 01:00:00";95,2;97,8
"2022-01-01 01:00:00";89,1;98,1
"2022-02-01 01:00:00";95;98,2
"2022-03-01 01:00:00";106,6;93,5
"2022-04-01 02:00:00";91;95,2
"2022-05-01 02:00:00";98,7;95,7
