,slp,rlm,industry,gas_to_electricity_public,electricity_from_gas,gas_price [€/MWh],producing_sector,manufacturing_sector,hospitality_sector,retail_sector,residential,commercial,decentral_chp,industry_buildings,aggregated,solar,temperature,temp_inertia,index,time,year,month,weekday,weekday_num,monday,friday,weekend,christmas_period,holiday,bridgeday
2017-01-01,2.3022891039999998,1.673442323,1.1330070664507186,0.21791217177159472,0.13916149892747037,,91.1,94.1,82.6,96.1,1.6431794471671155,0.7037159449658094,0.10771162422946062,0.17951937371576768,2.3468953921329248,3.847940811767395e-11,271.6185646685567,271.61856496949355,2017-01-01,0.0,2017,1,Sunday,6,0,0,1,0,1,0
2017-01-02,2.362776728,2.056043119,1.3141295135423459,0.36783199815329815,0.23490221679839154,,91.1,94.1,82.6,96.1,1.6009151063840479,0.7503790901695268,0.11485394237288676,0.1914232372881446,2.3512941965535745,2.7726454469508765e-11,272.7353009382808,272.2141566523448,2017-01-02,1.0,2017,1,Monday,0,1,0,0,0,0,0
2017-01-03,2.284347168,2.030095291,1.3440383902397655,0.30346139847647124,0.19379432885867323,,91.1,94.1,82.6,96.1,1.5278279412503306,0.7120645374289751,0.10898947001463906,0.1816491166910651,2.2398924786793057,2.2771823862634448e-11,273.91645086501865,273.14190079950737,2017-01-03,2.0,2017,1,Tuesday,1,0,0,0,0,0,0
2017-01-04,2.203892048,2.1087590790000004,1.3991223585205967,0.3113609529106378,0.1988390853171147,,91.1,94.1,82.6,96.1,1.4592603543139258,0.6696489855618248,0.1024972937084426,0.17082882284740433,2.128909339875751,2.4116185626882948e-11,274.8670949963656,274.1127821065833,2017-01-04,3.0,2017,1,Wednesday,2,0,0,0,0,0,0
2017-01-05,2.509253024,2.3580038219999997,1.4379288566405195,0.5107524957412165,0.32617307381431526,,91.1,94.1,82.6,96.1,1.6226815983146756,0.7616767924042216,0.11658318251085024,0.1943053041847504,2.384358390718897,4.4122739852604496e-11,270.24065996910366,272.13079181688965,2017-01-05,4.0,2017,1,Thursday,3,0,0,0,0,0,0
2017-01-06,2.7697363680000002,2.3902380369999996,1.4417453402135476,0.5380838225980628,0.34362720857949935,,91.1,94.1,82.6,96.1,1.8846290910298906,0.8752222291580984,0.1339625860956273,0.22327097682604552,2.7598513201879893,4.730927762050634e-11,265.1105214588505,268.3664966414882,2017-01-06,5.0,2017,1,Friday,4,0,1,0,0,1,0
2017-01-07,2.758368904,2.1344509609999998,1.3733833105648123,0.3701187896366908,0.23636259107659874,,91.1,94.1,82.6,96.1,1.9279064201778624,0.828735572382968,0.12684728148718896,0.21141213581198162,2.7566419925608305,2.5037648251103045e-11,267.1425078368666,267.5287057982037,2017-01-07,6.0,2017,1,Saturday,5,0,0,1,0,0,0
2017-01-08,2.631144584,2.0516328169999998,1.3129949558357932,0.3648792183516092,0.23301653386537718,,91.1,94.1,82.6,96.1,1.7732354179248822,0.7650986273949983,0.11710693276454055,0.19517822127423426,2.5383340453198806,1.8162040627916887e-11,272.31832640229237,269.8385567775692,2017-01-08,7.0,2017,1,Sunday,6,0,0,1,0,0,0
2017-01-09,2.58331644,2.3722145160000006,1.3997157059666885,0.5740541395032809,0.3665983128401324,,91.1,94.1,82.6,96.1,1.648351118629222,0.7750430263019974,0.11862903463806082,0.19771505773010137,2.423394144931219,2.495273886927782e-11,273.1583582108878,271.5957140934469,2017-01-09,8.0,2017,1,Monday,0,1,0,0,0,0,0
2017-01-10,2.424181904,2.363846674,1.358040185638565,0.6192252190174595,0.3954451417357382,,91.1,94.1,82.6,96.1,1.5751179076379356,0.7366757768510038,0.1127564964567863,0.1879274940946438,2.3117936844889395,3.137431811724602e-11,272.91069258151424,272.5132083808722,2017-01-10,9.0,2017,1,Tuesday,1,0,0,0,0,0,0
